file;numAnyError;numSyntaxError;numReferenceError;criticalErrors;totalTypeError;comment
arch/x86/crypto/aes_glue;0;0;0;0;0;
arch/x86/crypto/crc32c-intel;0;0;0;0;0;
arch/x86/crypto/salsa20_glue;0;0;0;0;0;
arch/x86/crypto/twofish_glue;0;0;0;0;0;
arch/x86/kernel/acpi/boot;0;0;0;0;0;
arch/x86/kernel/acpi/cstate;0;0;0;0;0;
arch/x86/kernel/acpi/sleep;0;0;0;0;0;
arch/x86/kernel/alternative;0;0;0;0;0;
arch/x86/kernel/apic/apic;0;0;0;0;0;
arch/x86/kernel/apic/apic_noop;0;0;0;0;0;
arch/x86/kernel/apic/bigsmp_32;0;0;0;0;0;
arch/x86/kernel/apic/io_apic;0;0;0;0;0;
arch/x86/kernel/apic/ipi;0;0;0;0;0;
arch/x86/kernel/apic/nmi;0;0;0;0;0;
arch/x86/kernel/apm_32;0;0;0;0;0;
arch/x86/kernel/bootflag;0;0;0;0;0;
arch/x86/kernel/check;0;0;0;0;0;
arch/x86/kernel/cpu/addon_cpuid_features;0;0;0;0;0;
arch/x86/kernel/cpu/amd;0;0;0;0;0;
arch/x86/kernel/cpu/bugs;0;0;0;0;0;
arch/x86/kernel/cpu/centaur;0;0;0;0;0;
arch/x86/kernel/cpu/cmpxchg;0;0;0;0;0;
arch/x86/kernel/cpu/common;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/acpi-cpufreq;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/cpufreq-nforce2;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/e_powersaver;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/gx-suspmod;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/longhaul;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/longrun;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/p4-clockmod;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/powernow-k6;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/powernow-k7;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/powernow-k8;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/speedstep-centrino;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/speedstep-ich;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/speedstep-lib;0;0;0;0;0;
arch/x86/kernel/cpu/cpufreq/speedstep-smi;0;0;0;0;0;
arch/x86/kernel/cpu/cyrix;0;0;0;0;0;
arch/x86/kernel/cpu/hypervisor;0;0;0;0;0;
arch/x86/kernel/cpu/intel;0;0;0;0;0;
arch/x86/kernel/cpu/intel_cacheinfo;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/mce-inject;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/mce-severity;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/mce;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/mce_amd;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/mce_intel;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/p5;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/therm_throt;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/threshold;0;0;0;0;0;
arch/x86/kernel/cpu/mcheck/winchip;0;0;0;0;0;
arch/x86/kernel/cpu/mtrr/amd;0;0;0;0;0;
arch/x86/kernel/cpu/mtrr/centaur;0;0;0;0;0;
arch/x86/kernel/cpu/mtrr/cleanup;0;0;0;0;0;
